Year,Browser,Detritivore,Excavator,Farmer,Grazer/detritivore,Scraper,Coral,Turf,Macroalgae
2006,21.66666667,96.66666667,35,3,189.1666667,6.333333333,37.57998016,3.558186508,3.156702381
2007,22.83333333,102,30.33333333,13.6,170.3333333,5.8,33.59384921,5.558603175,2.911333333
2008,28.33333333,117.3333333,37.16666667,12,201.8333333,7.166666667,21.67972222,10.90888889,11.30482143
2009,35,230.1666667,99.5,5.4,233,39,9.707698413,18.02924603,13.9910119
2010,46.5,149,67.66666667,18.66666667,170.8333333,77.83333333,3.63040873,0.767912698,5.796281746
2011,22.33333333,100.3333333,78.16666667,23.83333333,164.6666667,63.66666667,2.706507937,6.119623016,7.996071429
2012,20.83333333,71,65.33333333,15.83333333,190,72.33333333,3.969166667,33.41129762,13.76692857
2013,21.66666667,86,130.8333333,16.4,228,112.3333333,12.44268651,23.18893254,8.479043651
